,Positioning,Resolution,Type_1,Loudspeaker_1,Java,Triple,4G bands,Status,_3,Display,Video_1,128GB 4GB RAM,3.5mm jack,Battery (old),_2,Features_1,Quad,_1,Models,Performance,_4,Unspecified,256GB 8GB RAM,Protection,_6,Bluetooth,Music play,GPU,Chipset,OS,2G bands,Card slot,256GB,SAR EU,Single,Speed,GPRS,Weight,128GB 6GB RAM,CPU,Sensors,Size,Model Name,USB,512GB 12GB RAM,Browser,Price,Talk time,128GB 8GB RAM,EDGE,Battery (new),_5,64GB 4GB RAM,Internal,Stand-by,Video,Dual,Dimensions,Announced,Single_1,Dual_1,Audio quality,SIM,Radio,Camera,1TB 16GB RAM,Features,WLAN,Infrared port,Phonebook,Messaging,Keyboard,256GB 12GB RAM,Model Image,Call records,3G bands,Technology,Games,Brand,512GB 16GB RAM,SAR,Colors,Type,Charging,5G bands,Loudspeaker,Build,NFC
Always-on display,"GPS, GLONASS, GALILEO, BDS, QZSS",1080 x 2388 pixels (~391 ppi density),Li-Po 5000 mAh,,,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","Available. Released 2025, January",,,1080p@30fps,,No,,,,,,CTR-L91,,,,,,,"5.0, A2DP, LE",,Adreno 610,Qualcomm Snapdragon 680 4G (6 nm),"EMUI 14.2, no Google Play Services",GSM 850 / 900 / 1800 / 1900,No,,,"8 MP, f/2.0, (wide)","HSPA, LTE",,199 g (7.02 oz),,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),"Fingerprint (side-mounted), accelerometer, compass","6.7 inches, 108.7 cm2(~89.1% screen-to-body ratio)",Huawei nova 13i,USB Type-C 2.0,,,About 200 EUR,,,,,,,"128GB 8GB RAM, 256GB 8GB RAM",,1080p@30fps,"108 MP, f/1.9, 26mm (wide), PDAF2 MP, f/2.4, (depth)",163.3 x 74.7 x 8.4 mm (6.43 x 2.94 x 0.33 in),"2024, December 14",,,,Nano-SIMNano-SIM + Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-13i.jpg,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"White, Blue","IPS LCD, 90Hz","40W wired, 3-62% in 30 min",,Yes,,Yes
"IP64, dust and splash resistantDrop resistant up to 1.8m","GPS, GLONASS, GALILEO, BDS, QZSS",1224 x 2700 pixels (~437 ppi density),Si/C Li-Ion 6100 mAh,,,,LTE,"Available. Released 2025, January 13",,,"4K, 1080p",,No,,Virtual proximity sensingBDS Satellite Messaging (Two-way) - China only,,,Always-on display,BRE-AL80,,,,,,,"5.1, A2DP, LE",,Mali-G610,Kirin 8000A,HarmonyOS 4.2,GSM 850 / 900 / 1800 / 1900,No,,,"8 MP, f/2.0, (wide)","HSPA, LTE, 5G",,189 g or 193 g (6.67 oz),,Hexa-core (3x2.19 GHz Cortex-A77 & 3x1.84 GHz Cortex-A55),"Fingerprint (under display, optical), accelerometer, gyro, compass","6.78 inches, 111.5 cm2(~90.8% screen-to-body ratio)",Huawei Enjoy 70X,USB Type-C 2.0,,,,,,,,,,"128GB, 256GB, 512GB",,"4K, 1080p","50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF2 MP, f/2.4, (depth)",164 x 74.9 x 8 mm (6.46 x 2.95 x 0.31 in),"2025, January 03",,,,Nano-SIM + Nano-SIM,No,,,"Color spectrum sensor, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-70x.jpg,,HSDPA 850 / 900 / 2100,GSM / HSPA / LTE / 5G,,Huawei,,,"Black, White, Blue, Green","AMOLED, 120Hz, HDR Vivid",40W wired,SA/NSA,"Yes, with stereo speakers","Glass front, plastic frame, plastic back or silicone polymer back (eco leather)","Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC","1316 x 2832 pixels, 19.5:9 ratio (~453 ppi density)",Si/C Li-Ion 5700 mAh,,,"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, OIS48 MP, f/2.1, 93mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom40 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF",LTE,"Available. Released 2024, December 19",High-definition audioHigh & low frequency separate speakers,,"4K, 1080p",,No,,IP68/IP69 dust/water resistant (up to 6m for 30 min),"HDR, panorama",,CDMA2000 1x,PLU-AL10,,BDS Satellite Calling and Messaging - China onlyUltra Wideband (UWB) support,,,Huawei Kunlun Glass (basalt tempered),,"5.2, A2DP, LE, L2HC",,Maleoon 920,Kirin 9020,HarmonyOS 4.3,GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, f/2.4, 18mm (ultrawide)TOF 3D, (depth/biometrics sensor)","HSPA, LTE, 5G",,251 g or 256 g (8.85 oz),,Octa-core (1x2.5 GHz & 3x2.15 GHz & 4x1.6 GHz),"Face ID, fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass","6.9 inches, 117.4 cm2(~89.7% screen-to-body ratio)",Huawei Mate 70 RS Ultimate,"USB Type-C 3.1, OTG, DisplayPort 1.2",,,About 1580 EUR,,,,,,,"512GB 16GB RAM, 1TB 16GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS",,164.6 x 79.5 x 8.3 mm (6.48 x 3.13 x 0.33 in),"2024, November 26",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-70-rs-ultimate.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, White, Red","Dual-layer LTPO OLED, 1B colors, 120Hz, 3500 nits (peak)",100W wired80W wireless20W reverse wireless18W reverse wired,SA/NSA,"Yes, with stereo speakers","Glass front, titanium alloy frame",Yes
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC","1316 x 2832 pixels, 19.5:9 ratio (~453 ppi density)",Si/C Li-Ion 5700 mAh,,,"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, OIS48 MP, f/2.1, 93mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom40 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF",LTE,"Available. Released 2024, November 26",High-definition audio,,"4K, 1080p",,No,,IP68/IP69 dust/water resistant (up to 6m for 30 min),"HDR, panorama",,CDMA2000 1x,PLA-AL10,,BDS Satellite Calling and Messaging - China only,,,Huawei Kunlun Glass 2,,"5.2, A2DP, LE, L2HC",,Maleoon 920,Kirin 9020,HarmonyOS 4.3,GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, f/2.4, 18mm (ultrawide)TOF 3D, (depth/biometrics sensor)","HSPA, LTE, 5G",,226 g (7.97 oz),,Octa-core (1x2.5 GHz & 3x2.15 GHz & 4x1.6 GHz),"Face ID, fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass","6.9 inches, 117.4 cm2(~89.7% screen-to-body ratio)",Huawei Mate 70 Pro+,"USB Type-C 3.1, OTG, DisplayPort 1.2",,,About 1120 EUR,,,,,,,"512GB 16GB RAM, 1TB 16GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS",,164.6 x 79.5 x 8.3 mm (6.48 x 3.13 x 0.33 in),"2024, November 26",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-70-pro-plus.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, Gray, White, Green","LTPO OLED, 1B colors, 120Hz, 2500 nits (peak)",100W wired80W wireless20W reverse wireless18W reverse wired,SA/NSA,"Yes, with stereo speakers","Glass front, titanium alloy frame",Yes
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC","1316 x 2832 pixels, 19.5:9 ratio (~453 ppi density)",5500 mAh,,,"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, OIS48 MP, f/2.1, 93mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom40 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF",LTE,"Available. Released 2024, November 26",High-definition audio,,"4K, 1080p",,No,,IP68/IP69 dust/water resistant (up to 6m for 30 min),"HDR, panorama",,CDMA2000 1x,PLR-AL00,,BDS Satellite Calling and Messaging - China only,,,Huawei Kunlun Glass 2,,"5.2, A2DP, LE, L2HC",,Maleoon 920,Kirin 9020,HarmonyOS 4.3,GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, f/2.4, 18mm (ultrawide)TOF 3D, (depth/biometrics sensor)","HSPA, LTE, 5G",,221 g (7.80 oz),,Octa-core (1x2.5 GHz & 3x2.15 GHz & 4x1.6 GHz),"Face ID, fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass","6.9 inches, 117.4 cm2(~89.7% screen-to-body ratio)",Huawei Mate 70 Pro,"USB Type-C 3.1, OTG, DisplayPort 1.2",,,About 860 EUR,,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS",,164.6 x 79.5 x 8.2 mm (6.48 x 3.13 x 0.32 in),"2024, November 26",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-70-pro.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, Purple, White, Green","LTPO OLED, 1B colors, 120Hz, 2500 nits (peak)",100W wired80W wireless20W reverse wireless18W reverse wired,SA/NSA,"Yes, with stereo speakers","Glass front, aluminum alloy frame",Yes
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",1216 x 2688 pixels (~440 ppi density),5300 mAh,,,"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, OIS12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom40 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF",LTE,"Available. Released 2024, November 26",High-definition audio,,"4K, 1080p",,No,,IP68/IP69 dust/water resistant (up to 4m for 30 min),"HDR, panorama",,CDMA2000 1x,CLS-AL00,,BDS Satellite Messaging (Two-way) - China only,,,Huawei Kunlun Glass 2,,"5.2, A2DP, LE, L2HC",,Maleoon 920,Kirin 9020,HarmonyOS 4.3,GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, f/2.4, 18mm (ultrawide)","HSPA, LTE",,203 g (7.16 oz),,Octa-core (1x2.5 GHz & 3x2.15 GHz & 4x1.6 GHz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6.7 inches, 108.8 cm2(~89.1% screen-to-body ratio)",Huawei Mate 70,"USB Type-C 3.1, OTG, DisplayPort 1.2",,,About 720 EUR,,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS",,160.9 x 75.9 x 7.8 mm (6.33 x 2.99 x 0.31 in),"2024, November 26",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-70.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, Purple, White, Green","LTPO OLED, 1B colors, 120Hz, 2500 nits (peak)",66W wired50W wireless7.5W reverse wireless5W reverse wired,Unspecified support by maker,"Yes, with stereo speakers","Glass front, aluminum alloy frame",Yes
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",2240 x 2440 pixels (~418 ppi density),Si/C Li-Ion 5110 or 5200 mAh,-27.3 LUFS (Good),,"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, OIS48 MP, f/3.0, 90mm (periscope telephoto), PDAF, OIS, 4x optical zoom40 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF",LTE,"Available. Released 2024, December 19","Cover display:LTPO OLED, 120Hz, HDR, 2500 nits (peak), 6.45 inches, 1080 x 2440 pixels",1173 nits max brightness (measured),"4K, 1080p",,No,,IPX8 dust/water resistant (up to 2m for 30 min)Aerospace-grade aluminum,"HDR, panorama",,CDMA2000 1xEV-DO,ICL-AL10,AnTuTu: 1298127 (v10)GeekBench: 5218 (v6)3DMark: 1907 (Wild Life Extreme),UFS,,,Kunlun Glass 2,,"5.2, A2DP, LE, L2HC",,Maleoon 920,Kirin 9020,HarmonyOS 4.3 / EMUI 15,GSM 850 / 900 / 1800 / 1900,No,,,"8 MP, f/2.2, (wide)Cover camera:8 MP, f/2.4, (wide)","HSPA, LTE, 5G",,239 g (8.43 oz),,Octa-core (1x2.5 GHz Taishan Big & 3x2.15 GHz Taishan Mid & 4x1.53GHz Cortex-A510),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","7.93 inches, 202.1 cm2(~91.5% screen-to-body ratio)",Huawei Mate X6,"USB Type-C 3.1, OTG, DisplayPort 1.2",,,About 1700 EUR,,,,Active use score 8:56h,BDS Satellite and Messaging - China only - China only,,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS, HDR Vivid",,Unfolded: 156.6 x 144.1 x 4.6 mmFolded: 156.6 x 73.8 x 9.9 mm,"2024, November 26",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-x6-.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / EVDO / LTE / 5G,,Huawei,,,"Black, White, Gray, Blue, Red","Foldable LTPO OLED, 1B colors, 120Hz, HDR Vivid, 1800 nits (peak)",66W wired50W wireless7.5W reverse wireless5W reverse wired,SA/NSA,"Yes, with stereo speakers","Glass front, nylon fiber or silicone polymer back (eco leather), aluminum frame","Yes; NFC-SIM, HCE"
Stylus support,"GPS, GALILEO, GLONASS, BDS","2880 x 1920 pixels, 3:2 ratio (~262 ppi density)",Li-Po 10100 mAh,,,,LTE,"Available. Released 2024, December 12",,,1080p@30fps,,No,,BDS Satellite Calling and Messaging - China only,,,UFS,WEB-W00,,,,,,,"5.2, A2DP, LE, L2HC",,,,Harmony OS 4.3,GSM 850 / 900 / 1800 / 1900,No,,,"16 MP, f/2.2","HSPA, LTE - cellular model only",,580 g (Wi-FI) or 590 g (LTE) (1.28 lb),,,"Fingerprint (side-mounted), accelerometer, gyro, compass, proximity (accessories only)","13.2 inches, 518.8 cm2(~91.5% screen-to-body ratio)",Huawei MatePad Pro 13.2 (2024),"USB Type-C 3.1, OTG, DisplayPort 1.2, accessory connector pins",,,About 680 EUR,,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",,"4K@30fps, 1080p@30fps","50 MP, f/1.8, (wide), PDAF8 MP, f/2.2, (ultrawide)",289.1 x 196.1 x 5.5 mm (11.38 x 7.72 x 0.22 in),"2024, November 26",,,,Nano-SIM (cellular model only),No,,,LED flash,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro-132-2024.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, White, Gold","OLED, 1B colors, 144Hz, HDR, 1000 nits (peak)",100W wired,,"Yes, with stereo speakers (6 speakers)","Glass front, nylon fiber back, magnesium alloy frame",No
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",1224 x 2776 pixels (~449 ppi density),5000 mAh,,,"50 MP, f/1.4-4.0, 23mm (wide), PDAF, OIS12 MP, f/2.4, 69mm (telephoto), PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), AF",LTE,"Available. Released 2024, October 25",BDS Satellite Calling and Messaging - China onlyVirtual proximity sensing,,"4K@30fps, 1080p@30fps, gyro-EIS",,No,,"IP65, waterproof and dustproof","HDR, panorama",,CDMA2000 1x,MIS-AL00,,,,,Aluminosilicate glass,,"5.2, A2DP, LE, L2HC (320-960 kbps HD audio)",,,,HarmonyOS 4.2,GSM 850 / 900 / 1800 / 1900,No,$ 545.59,,,"HSPA, LTE, 5G",,209 g (7.37 oz),,,"Fingerprint (under display, optical), accelerometer, gyro, compass","6.76 inches, 108.8 cm2(~88.9% screen-to-body ratio)",Huawei nova 13 Pro,"USB Type-C 2.0, OTG",,,$ 545.59,,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",,"4K, 1080p, gyro-EIS","8 MP, f/2.2, 52mm (telephoto), AF, 2x optical zoom60 MP, f/2.4, 17mm, 100˚ (ultrawide), AF",163.4 x 74.9 x 7.8 mm (6.43 x 2.95 x 0.31 in),"2024, October 22",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huavei-nova-13-pro.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, White, Purple, Green","LTPO OLED, 1B colors, HDR, 120Hz","100W wired, 3-50% in 9 min5W reverse wired",SA/NSA,"Yes, with stereo speakers",,"Yes; NFC-SIM, HCE"
CDMA 800,"GPS, GALILEO, GLONASS, BDS, QZSS","1084 x 2412 pixels, 20:9 ratio (~395 ppi density)",5000 mAh,,,,LTE,"Available. Released 2024, October 25",BDS Satellite Calling and Messaging - China onlyVirtual proximity sensing,,"4K@30fps, 1080p@30fps, gyro-EIS",,No,,"Splash, water and dust resistant","HDR, panorama",,CDMA2000 1x,BLK-AL80,,,,,Aluminosilicate glass,,"5.2, A2DP, LE, L2HC (320-960 kbps HD audio)",,,,HarmonyOS 4.2,GSM 850 / 900 / 1800 / 1900,No,,,"60 MP, f/2.4, 17mm, 100˚ (ultrawide)","HSPA, LTE, 5G",,195 g (6.88 oz),,,"Fingerprint (under display, optical), accelerometer, gyro, compass","6.7 inches, 108.3 cm2(~89.1% screen-to-body ratio)",Huawei nova 13,"USB Type-C 2.0, OTG",,,About 350 EUR,,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",,"4K, 1080p, gyro-EIS","50 MP, f/1.9, (wide), PDAF8 MP, f/2.2, 112˚ (ultrawide), AF",161.4 x 75.3 x 7 mm (6.35 x 2.96 x 0.28 in),"2024, October 22",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huavei-nova-13.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, White, Purple, Green","OLED, 1B colors, HDR, 120Hz","100W wired, 3-50% in 10 min5W reverse wired",SA/NSA,Yes,,"Yes; NFC-SIM, HCE"
5 ATM/IP69K40m swimproof/diving (EN13319)50m water resistant (for 10 min)ECG certified,"GPS (L1+L5), BDS (B1I+B1c), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS",466 x 466 pixels (~326 ppi density),Li-Ion,,,,N/A,"Available. Released 2024, September 19",,,,,No,,No,,,Always-on display,VLI-B29,,,$ 282.99,,,,"5.2, A2DP, LE",,,,HarmonyOS,N/A,No,,,,,No,44 g or 53 g (1.55 oz),,,"Accelerometer, gyro, heart rate, barometer, compass, SpO2, thermometer (body temperature)",1.43 inches,Huawei Watch GT 5 Pro,No,,,$ 282.99 / € 334.65,,,No,,,,Unspecified,,,,46.3 x 46.3 x 10.9 mm (1.82 x 1.82 x 0.43 in),"2024, September 19",,,,No,No,,,,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-5-pro-.jpg,,N/A,No cellular connectivity,,Huawei,,,"Titanium, Black, Ceramic White, White",AMOLED,Wireless,,Yes,"Glass front, titanium alloy frame, ceramic back (Ceramic White model only)",Yes
5 ATM/IP69K50m water resistant (for 10 min),"GPS (L1+L5), BDS (B1I+B1c), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS",466 x 466 pixels (~326 ppi density),Li-Ion,,,,N/A,"Available. Released 2024, September 19",,,,,No,,No,,,Always-on display,VLI-B19,,,$ 184.06,,,,"5.2, A2DP, LE",,,,HarmonyOS,N/A,No,,,,,No,35 g or 48 g (1.23 oz),,,"Accelerometer, gyro, heart rate, barometer, compass, SpO2, thermometer (body temperature)",1.43 inches,Huawei Watch GT 5,No,,,$ 184.06 / € 245.99,,,No,,,,Unspecified,,,,45.8 x 45.8 x 10.7 mm (1.80 x 1.80 x 0.42 in),"2024, September 19",,,,No,No,,,,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-5-.jpg,,N/A,No cellular connectivity,,Huawei,,,"Black, Blue, Brown, White, Gold",AMOLED,Wireless,,Yes,"Glass front, stainless steel frame",Yes
IP68Blood Pressure Measurement & ECG with built-in pump & inflatable strapECG certified,GPS,480 x 408 pixels (~347 ppi density),Li-Ion 524 mAh,,,,N/A,"Available. Released 2024, September 19",,,,,No,,,,,No,LCA-B11,,,€ 385.00,,,,"5.2, LE",,,,HarmonyOS,N/A,No,,,,No,No,40 g (1.41 oz),,,"Accelerometer, gyro, heart rate, SpO2, thermometer (skin temperature), differential pressure sensor, barometer",1.82 inches,Huawei Watch D2,No,,,€ 385.00,,,No,,,,Unspecified,,,,48 x 38 x 13.3 mm (1.89 x 1.50 x 0.52 in),"2024, September 19",,,,No,No,,,,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-d2.jpg,,N/A,No cellular connectivity,,Huawei,,,"Black, Gold",AMOLED,5W wireless,,Yes,"Glass front, aluminum frame",Yes (market/region dependent)
Stylus support (magnetic),No,"2800 x 1840 pixels, 3:2 ratio (~279 ppi density)",Li-Po 10100 mAh,-22.6 LUFS (Excellent),,,N/A,"Available. Released 2024, October 22",,686 nits max brightness (measured),1080p@30fps,,No,,,,,,,AnTuTu: 667930 (v10)GeekBench: 3954 (v6)3DMark: 1206 (Wild Life Extreme),,,,,,"5.2, A2DP, LE",,,Kirin T90A,HarmonyOS 4.2,N/A,No,,,"8 MP, f/2.2",,No,555 g (1.22 lb),,Octa-core,"Accelerometer, gyro, compass, proximity (accessories only)","12.0 inches, 426.4 cm2(~86.3% screen-to-body ratio)",Huawei MatePad 12 X,"USB Type-C 3.1, OTG, magnetic accessory connector",,,About 850 EUR,,,No,,,,"256GB 8GB RAM, 256GB 12GB RAM",,"4K@30fps, 1080p@30fps","13 MP, f/1.8, (wide), PDAF8 MP, f/2.2, (ultrawide)",270 x 183 x 5.9 mm (10.63 x 7.20 x 0.23 in),"2024, September 19",,,,No,No,,,LED flash,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-air-2024-.jpg,,N/A,No cellular connectivity,,Huawei,,,"White, Greenery","IPS LCD, 144Hz, 1000 nits (peak)",66W wired,,"Yes, with stereo speakers (6 speakers)",,No
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",2232 x 3184 pixels (~381 ppi density),Si/C Li-Ion 5600 mAh,,,"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, OIS12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5.5x optical zoom12 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF",LTE,"Available. Released 2024, September 20",BDS Satellite Calling and Messaging - China only,,"4K, 1080p",,No,,"Cover display (1/3 of the main display): 6.4 inches, 1008 x 2232 pixelsDual display (2/3 of the main display): 7.9 inches, 2048 x 2232 pixels",HDR,,CDMA2000 1x,GRL-AL10,,,,,,,"5.2, A2DP, LE, L2HC",,Maleoon 910,Kirin 9010 (7 nm),HarmonyOS 4.2 (China),GSM 850 / 900 / 1800 / 1900,No,,,"8 MP, f/2.2, (wide)","HSPA, LTE, 5G",,298 g (10.51 oz),,Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz Cortex-A510),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","10.2 inches, 315.5 cm2(~91.9% screen-to-body ratio)",Huawei Mate XT Ultimate,"USB Type-C 3.1, DisplayPort 1.2, OTG",,,About 2550 EUR,,,,,,,"256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,"4K, 1080p, gyro-EIS, OIS, HDR",,Unfolded: 156.7 x 219 x 3.6-4.8 mmFolded: 156.7 x 73.5 x 12.8 mm,"2024, September 10",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-xt-ultimate.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Red, Black","Tri-foldable LTPO OLED, 1B colors, 90Hz",66W wired50W wireless7.5W reverse wireless5W reverse wired,SA/NSA,"Yes, with stereo speakers",,"Yes; NFC-SIM, HCE"
