Unnamed: 0,Battery (new),Camera,3.5mm jack,Audio quality,EDGE,Video,Status,Single,Infrared port,Models,_6,128GB 6GB RAM,OS,Triple,SAR,Dual,Performance,64GB 4GB RAM,2G bands,Size,_2,Loudspeaker_1,SAR EU,Type,Dimensions,Bluetooth,128GB 8GB RAM,_5,4G bands,Music play,_4,USB,Talk time,Loudspeaker,Radio,512GB 16GB RAM,Video_1,Model Name,Technology,128GB 4GB RAM,Display,Speed,512GB 12GB RAM,5G bands,Model Image,Chipset,SIM,Sensors,Features_1,3G bands,Single_1,Quad,Type_1,Charging,Weight,Stand-by,GPRS,Positioning,Battery (old),256GB 8GB RAM,_1,256GB 12GB RAM,NFC,Brand,1TB 16GB RAM,_7,Build,Resolution,WLAN,Price,Colors,GPU,Internal,Card slot,CPU,Announced,Features,Protection,_3,URL,Image,Network,Launch,Body,Platform,Memory,Main Camera,Selfie camera,Sound,Comms,Battery,Misc,
"IP64, dust and water resistant",,,No,,,1080p@30fps,"Available. Released 2025, January","32 MP, f/2.5, (wide)",,,,,"Android 14, Funtouch 14",,,"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF8 MP, f/2.2, 120˚ (ultrawide)",,,GSM 850 / 900 / 1800 / 1900,"6.67 inches, 107.4 cm2(~86.7% screen-to-body ratio)",24-bit/192kHz Hi-Res audio,,,"AMOLED, 1B colors, 120Hz, 1200 nits (HBM), 1800 nits (peak)",163.2 x 75.9 x 7.8 mm or 8.0 mm,"5.0, A2DP, LE",,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,,1080p@30fps,vivo Y200 (Asia),GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y200-5g-gl.jpg,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,Li-Ion 5000 mAh,"80W wired, 80% in 30 minReverse wired",188 g or 190 g (6.63 oz),,,"GPS, GALILEO, GLONASS, QZSS, BDS",,,UFS 2.2,,No,vivo,,,"Glass front, plastic back, plastic frame","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 280 EUR,"Dynamic Black, Titanium Silver, Dreamy Violet",Adreno 613,"256GB 8GB RAM, 512GB 12GB RAM",microSDXC (uses shared SIM slot),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),"2024, December","Ring-LED flash, panorama, HDR",,,,,,,,,,,,,,,,
"IP54, dust and splash resistant",,,No,,,1080p@30fps,"Available. Released 2023, October","16 MP, f/2.0, (wide)",,,,,"Android 13, Funtouch 13",,0.99 W/kg (head)     0.86 W/kg (body),"64 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.67 inches, 107.4 cm2(~88.3% screen-to-body ratio)",24-bit/192kHz Hi-Res audio,,,"AMOLED, 120Hz, 800 nits (peak)",162.4 x 74.9 x 7.7 mm (6.39 x 2.95 x 0.30 in),"5.1, A2DP, LE",,,"1, 3, 5, 8, 28, 38, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo Y200 (Global),GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y200-5g-gl.jpg,Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 2100,,,Li-Ion 4800 mAh,"44W wired, 80% in 30 minReverse wired",190 g (6.70 oz),,,"GPS, GLONASS, GALILEO, BDS, QZSS",,,UFS 2.2,,No,vivo,,,"Glass front, plastic frame, glass back","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 200 EUR,"Titanium Silver, Emerald Green, Purple, Black",Adreno 619,"128GB 8GB RAM, 256GB 8GB RAM",No,Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55),"2023, October","Ring-LED flash, panorama, HDR",,,,,,,,,,,,,,,,
CDMA 800,,,No,,,"4K@30/60fps, 1080p, gyro-EIS, OIS","Available. Released 2025, January 03","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm",Yes,V2352GA,,,"Android 15, OriginOS 5",,,"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS8 MP, f/2.2, (ultrawide)",,,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~89.3% screen-to-body ratio)",Always-on display,,,"AMOLED, 1B colors, 144Hz, HDR",163.7 x 75.9 x 8 mm (6.44 x 2.99 x 0.31 in),"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",,,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,,1080p@30fps,vivo iQOO Z9 Turbo Endurance,GSM / CDMA / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 5, 8, 28, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z9-turbo-endurance.jpg,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 2100,,,Si/C Li-Ion 6400 mAh,80W wired7.5W reverse wired,196 g (6.91 oz),,,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",,,"IP64, dust and water resistant",,Yes,vivo,,,"Glass front, plastic back, plastic frame","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 250 EUR,"Black, White, Blue",Adreno 735,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",No,Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),"2025, January 03","LED flash, panorama, HDR",,UFS 4.0,,,,,,,,,,,,,,
CDMA 800,,,Yes,,,1080p@30fps,"Available. Released 2025, January 02","5 MP, f/2.2, (wide)",,,,,"Android 14, OriginOS 4",,,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.68 inches, 107.4 cm2(~85.3% screen-to-body ratio)",IP64 dust/water resistant,,,"IPS LCD, 120Hz, 1000 nits (HBM)",165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),"4.2, A2DP, LE, aptX Adaptive",,,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,,1080p@30fps,vivo Y200+,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y37-pro.jpg,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, proximity, compass",,HSDPA 850 / 900 / 2100,,,6000 mAh,"44W wired, 50% in 36 minReverse wired",199 g (7.02 oz),,,"GPS, GALILEO, GLONASS, BDS, QZSS",,,CDMA2000 1x,,No,vivo,,,"Glass front, plastic frame, plastic back","720 x 1608 pixels, 20:9 ratio (~264 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 150 EUR,"Dark Gray, Green, Apricot",Adreno 613,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",No,Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"2025, January 02","LED flash, panorama",,UFS 2.2,,,,,,,,,,,,,,
"IP64, dust and water resistantMIL-STD-810H compliant** does not guarantee ruggedness or use in extreme conditions",,,Yes,,,1080p@30fps,"Available. Released 2024, December 24","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAFAuxiliary lens",,V2420,,"₹ 15,499","Android 14, Funtouch 14",,0.99 W/kg (head)     0.99 W/kg (body),,,,GSM 850 / 900 / 1800 / 1900,"6.68 inches, 107.4 cm2(~85.1% screen-to-body ratio)",,,,"IPS LCD, 120Hz, 1000 nits (HBM)",165.8 x 76.1 x 8.1 mm (6.53 x 3.00 x 0.32 in),"5.4, A2DP, LE","₹ 16,999",,"1, 3, 5, 8, 28, 38, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with dual speakers",FM radio,,1080p@30fps,vivo Y29,GSM / HSPA / LTE / 5G,"₹ 13,999",,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 40, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y19s.jpg,Mediatek Dimensity 6300 (6 nm),Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, proximity, compass",,HSDPA 850 / 900 / 2100,"8 MP, f/2.0, (wide)",,Li-Ion 5500 mAh,44W wiredReverse wired,198 g (6.98 oz),,,"GPS, GLONASS, GALILEO, BDS, QZSS",,,eMMC 5.1,,No,vivo,,,"Glass front, plastic back, plastic frame","720 x 1608 pixels, 20:9 ratio (~264 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band","₹ 13,999","Glacier Blue, Titanium Gold, Diamond Black",Mali-G57 MC2,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",microSDXC (uses shared SIM slot),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"2024, December 24","Ring-LED flash, panorama",,,,,,,,,,,,,,,,
CDMA 800,,,No,,,"1080p@30fps, gyro-EIS","Available. Released 2024, December 16","8 MP, f/2.1, (wide)",,V2435,,,"Android 15, OriginOS 5",,,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.77 inches, 110.9 cm2(~89.0% screen-to-body ratio)",UFS 2.2,,,"AMOLED, 120Hz, 1300 nits (HBM), 1800 nits (peak)",163.6 x 76.2 x 7.8 mm (6.44 x 3.00 x 0.31 in),"5.4, A2DP, LE, aptX HD",,,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,,1080p@30fps,vivo Y300 (China),GSM / CDMA / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y300-5g-cn.jpg,Mediatek Dimensity 6300 (6 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Panorama,HSDPA 850 / 900 / 2100,,,Si/C Li-Ion 6500 mAh,44W wiredReverse wired,200 g (7.05 oz),,,"GPS, GALILEO, GLONASS, QZSS, BDS",,,"IP64, dust and water resistant",,No,vivo,,,,1080 x 2392 pixels (~388 ppi density),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 260 EUR,"Black, White, Green",Mali-G57 MC2,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",No,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"2024, December 16","Ring-LED flash, panorama, HDR",Strengthened glass,24-bit/192kHz Hi-Res & Hi-Res Wireless audio3D Panoramic Audio speaker (91.7dB),,,,,,,,,,,,,,
UFS 4.0 (UFS 4.1 with future SW update),,,No,,,"8K, 4K, 1080p, gyro-EIS","Available. Released 2024, November 29","16 MP, f/2.5, (wide)",Yes,2426A,,,"Android 15, OriginOS 5",,,"50 MP, f/1.8, (wide), 1/1.56"", PDAF, OIS50 MP, f/2.0, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF",,,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~90.4% screen-to-body ratio)",,,,"LTPO AMOLED, 1B colors, 144Hz, HDR10+, 1800 nits (HBM), 4500 nits (peak)",162.9 x 75.4 x 8 mm (6.41 x 2.97 x 0.31 in),"5.4, A2DP, LE, aptX HD, LHDC 5",,,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers (closed type)",No,,1080p@30fps,vivo iQOO Neo10 Pro (China),GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-neo10-pro-cn.jpg,Mediatek Dimensity 9400 (3 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,Si/C Li-Ion 6100 mAh,"120W wired, 100W PPS+PD, 50% in 15 minReverse wired",199 g or 206 g (7.05 oz),,,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L1+L5)",,,,,Yes,vivo,,,,"1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",About 420 EUR,"Black, White, Orange",Immortalis-G925,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",No,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),"2024, November 29","LED flash, panorama, HDR",,,,,,,,,,,,,,,,
UFS 4.0 (UFS 4.1 with future SW update),,,No,,,"8K, 4K, 1080p, gyro-EIS","Available. Released 2024, November 29","16 MP, f/2.5, (wide)",Yes,2425A,,,"Android 15, OriginOS 5",,,"50 MP, f/1.8, (wide), 1/1.56"", PDAF, OIS8 MP, f/2.2, 119˚ (ultrawide)",,,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~90.4% screen-to-body ratio)",,,,"LTPO AMOLED, 1B colors, 144Hz, HDR10+, 1800 nits (HBM), 4500 nits (peak)",162.9 x 75.4 x 8 mm (6.41 x 2.97 x 0.31 in),"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC 5",,,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers (closed type)",No,,1080p@30fps,vivo iQOO Neo10 (China),GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-neo10-cn.jpg,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,Si/C Li-Ion 6100 mAh,"120W wired, 100W PPS+PD, 50% in 15 minReverse wired",199 g or 206 g (7.05 oz),,,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",,,,,Yes,vivo,,,,"1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",About 300 EUR,"Black, White, Orange",Adreno 750,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",No,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),"2024, November 29","LED flash, panorama, HDR",,,,,,,,,,,,,,,,
CDMA 800,,,No,,,"4K, 1080p, gyro-EIS","Available. Released 2024, December 12","50 MP, f/2.0, 22mm (wide), AF",Yes,V2430A,,,"Android 15, OriginOS 5","50 MP, f/1.9, 23mm (wide), 1/1.56"", PDAF, OIS50 MP, f/2.6, 85mm (periscope telephoto), 1/1.95"", 0.8µm, PDAF (15cm - ∞), OIS, 3x optical zoom50 MP, f/2.1, (ultrawide), AF",,,,,GSM 850 / 900 / 1800 / 1900,"6.67 inches, 107.4 cm2(~89.2% screen-to-body ratio)",UFS 3.1,,,"AMOLED, 1B colors, 120Hz, 1600 nits (HBM), 5000 nits (peak)",160.6 x 75 x 7.5 mm (6.32 x 2.95 x 0.30 in),"5.4, A2DP, LE, aptX HD, LHDC 5",,,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,,"4K, 1080p",vivo S20 Pro,GSM / CDMA / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-s20-pro-.jpg,Mediatek Dimensity 9300+ (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",HDR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,Si/C Li-Ion 5500 mAh,"90W wired, PDReverse wired",194 g (6.84 oz),,,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",,,IP64 dust/water resistant,,Yes,vivo,,,,"1260 x 2800 pixels, 20:9 ratio (~460 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",About 450 EUR,"Gray, Purple, Gold",Immortalis-G720 MC12,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",No,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),"2024, November 28","Ring-LED flash, panorama, HDR",,,,,,,,,,,,,,,,
CDMA 800,,,No,,,"4K, 1080p, gyro-EIS","Available. Released 2024, December 06","50 MP, f/2.0, 22mm (wide), AF",Yes,V2429A,,,"Android 15, OriginOS 5",,,"50 MP, f/1.9, 23mm (wide), 1/1.55"", PDAF, OIS8 MP, f/2.2, 106˚ (ultrawide), AF",,,GSM 850 / 900 / 1800 / 1900,"6.67 inches, 107.4 cm2(~90.2% screen-to-body ratio)",UFS 2.2,,,"AMOLED, 1B colors, 120Hz, 1300 nits (HBM), 5000 nits (peak)",160.4 x 74.2 x 7.2 mm (6.31 x 2.92 x 0.28 in),"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC 5",,,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,,"4K, 1080p",vivo S20,GSM / CDMA / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-s20.jpg,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",HDR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,Si/C Li-Ion 6500 mAh,"90W wired, PDReverse wired",186 g (6.56 oz),,,"GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",,,IP64 dust/water resistant,,Yes,vivo,,,,"1260 x 2800 pixels, 20:9 ratio (~460 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",About 300 EUR,"Gray, Gold, White",Adreno 720,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",No,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),"2024, November 28","Ring-LED flash, panorama, HDR",Scratch/drop-resistant glass,,,,,,,,,,,,,,,
"IP64, dust and water resistant",,,No,,,1080p@30fps,"Available. Released 2024, November 26","32 MP, f/2.5, (wide)",,,,,"Android 14, Funtouch 14",,0.99 W/kg (head)     0.99 W/kg (body),"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.67 inches, 107.4 cm2(~86.7% screen-to-body ratio)",24-bit/192kHz Hi-Res audio,,,"AMOLED, 1B colors, 120Hz, 1200 nits (HBM), 1800 nits (peak)",163.2 x 75.9 x 7.8 mm or 8.0 mm,"5.0, A2DP, LE","₹ 20,990",,"1, 3, 5, 8, 28, 38, 40, 41",,,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,,1080p@30fps,vivo Y300,GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 40, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y300-5g.jpg,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 2100,,,Li-Ion 5000 mAh,"80W wired, 80% in 30 minReverse wired",188 g or 190 g (6.63 oz),,,"GPS, GALILEO, GLONASS, QZSS, BDS, NavIC",,"₹ 22,950",UFS 2.2,,No,vivo,,,"Glass front, plastic back, plastic frame","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band","₹ 20,990","Titanium Silver, Carbon Black, Emerald Green",Adreno 613,"128GB 8GB RAM, 256GB 8GB RAM",microSDXC (uses shared SIM slot),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),"2024, November 21","Ring-LED flash, panorama, HDR",,,,,,,,,,,,,,,,
"IP54, dust and splash resistant",,,Yes,,,1080p@30fps,"Available. Released 2024, November 12","50 MP, f/1.8, (wide), PDAFAuxiliary lens",,,,,"Android 14, Funtouch 14",,,,,,GSM 850 / 900 / 1800 / 1900,"6.56 inches, 103.4 cm2(~83.6% screen-to-body ratio)",,,,"IPS LCD, 90Hz, 840 nits (HBM)",163.6 x 75.6 x 8.4 mm (6.44 x 2.98 x 0.33 in),"5.2, A2DP, LE",,,"1, 3, 5, 8, 38, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,FM radio,,Yes,vivo Y18t,GSM / HSPA / LTE,,,"HSPA, LTE",,,https://fdn2.gsmarena.com/vv/bigpic/vivo-y03.jpg,Unisoc T612 (12 nm),Nano-SIM + Nano-SIM,"Accelerometer, proximity, compass",,HSDPA 850 / 900 / 2100,"8 MP, f/2.0, (wide)",,Li-Ion 5000 mAh,15W wired,185 g (6.53 oz),,,"GPS, GALILEO, GLONASS, BDS, QZSS",,,eMMC 5.1,,No,vivo,,,"Glass front, plastic frame, plastic back","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 110 EUR,"Space Black, Gem Green",Mali-G57 MP1,128GB 4GB RAM,microSDXC (dedicated slot),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"2024, November 12","LED flash, panorama",,,,,,,,,,,,,,,,
"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 66 - China",Active use score 18:03h,,No,,,"8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS","Available. Released 2024, November 08","32 MP, f/2.5, 28mm (wide), 1/3.15"", 0.7µm",Yes,V2408A,,,"Android 15, up to 4 major Android upgrades, Funtouch 15 (International), OriginOS 5 (China)","50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS50 MP, f/1.9, 50mm (telephoto), 1/2.93"", 0.6µm, PDAF, OIS, 2x optical zoom50 MP, f/2.0, 15mm (ultrawide), 1/2.76"", 0.64µm, AF",,,AnTuTu: 2791585 (v10)GeekBench: 9522 (v6)3DMark: 6368 (Wild Life Extreme),,GSM 850 / 900 / 1800 / 1900,"6.82 inches, 113.0 cm2(~90.2% screen-to-body ratio)",IP68/IP69 dust/water resistant (up to 1.5m for 30 min)RGB LED light on the back,-23.8 LUFS (Very good),,"LTPO AMOLED, 1B colors, 144Hz, HDR10+, 800 nits (typ), 1800 nits (HBM), 4500 nits (peak)",163.4 x 76.7 x 8 mm (6.43 x 3.02 x 0.31 in),"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC 5",,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 42, 66 - International",,24-bit/192kHz Hi-Res audioSnapdragon Sound,"USB Type-C 3.2, OTG",,"Yes, with stereo speakers",No,"₹ 59,998","4K@30/60fps, 1080p@30/60fps",vivo iQOO 13,GSM / HSPA / LTE / 5G,,1804 nits max brightness (measured),"HSPA, LTE, 5G",,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - International",https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-13.jpg,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",HDR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,Si/C Li-Ion 6150 mAh (Global)6000 mAh (India only),"120W wired, PPS, 100% in 30 min",207 g or 213 g (7.30 oz),,,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",,,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA - China","₹ 54,998","Yes, 360˚",vivo,,,"Glass front, aluminum alloy frame, glass back or glass fiber back",1440 x 3168 pixels (~510 ppi density),"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","₹ 54,998","Alpha (Black), Nardo Gray (Silver), White (BMW M branding), Green",Adreno 830,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",No,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),"2024, October 30","Color spectrum sensor, Dual-LED flash, HDR, panorama",Schott Xensation Alpha,UFS 4.0 or UFS 4.1,,,,,,,,,,,,,,
